variablename,displayname
Evt_CSV_avg,"$\mathregular{\overline{\rm{CSV}}}$"
Evt_Deta_JetsAverage,"$\mathregular{\overline{\Delta\eta}\rm{(Jet,\ Jet)}}$"
Evt_Deta_TaggedJetsAverage,"$\mathregular{\overline{{\Delta\eta}}\rm{(Tags)}}$"
Evt_Deta_maxDetaJetTag,"$\mathregular{\Delta\eta(\Delta\eta_{max}(Jet, Tag))}$" 
Evt_Deta_maxDetaJetJet,"$\mathregular{\Delta\eta(\Delta\eta_{max}\rm{(Jet,\ Jet)})}$"
Evt_Deta_maxDetaTagTag,"$\mathregular{\Delta\eta(\Delta\eta_{max}\rm{(Tag,\ Tag)})}$"
Evt_Dr_JetsAverage,"$\mathregular{\overline{{\Delta R}}\rm{(Jet,\ Jet)}}$"
Evt_Dr_TaggedJetsAverage,"$\mathregular{\overline{{\Delta R}}\rm{(Tags)}}$"
Evt_Dr_maxDrJets,"$\mathregular{\Delta R(\Delta\eta_{max}\rm{(Jet,\ Jet)})}$"
Evt_Dr_maxDrTaggedJets,"$\mathregular{\Delta R(\Delta\eta_{max}\rm{(Tag,\ Tag)})}$"
Evt_Dr_minDrJets,"$\mathregular{\Delta R_{\rm{min}}\rm{(Jet,\ Jet)}}$"
Evt_Dr_minDrLepJet,"$\mathregular{\Delta R_{\rm{min}}\rm{(Lep,\ Jet)}}$"
Evt_Dr_minDrLepTag,"$\mathregular{\Delta R_{\rm{min}}\rm{(Lep,\ Tag)}}$"
Evt_Dr_minDrTaggedJets,"$\mathregular{\Delta R_{\rm{min}}\rm{(Tag,\ Tag)}}$"
Evt_E_TaggedJetsAverage,"$\mathregular{\overline{{E}\rm{(Tags)}}$"
Evt_Eta_JetsAverage, $\mathregular{\overline{{\eta}\rm{(Jets)}}$"
Evt_Eta_TaggedJetsAverage,"$\mathregular{\overline{{\eta}}\rm{(Tags)}}$"
Evt_HT,"$\mathregular{H_{\rm{T}}}}$"
Evt_HT_jets,"$\mathregular{H_{\rm{T}}\rm{(Jets)}}$" 
Evt_M2_closestTo125TaggedJets,"$\mathregular{M_{2}\rm{(Tag,\ Tag)}_{125}}$" 
Evt_M2_minDrJets,"$\mathregular{M_{2}(\Delta R_{\rm{min}}\rm{(Jet,\ Jet)})}$"
Evt_M2_minDrTaggedJets,"$\mathregular{M_{2}(\Delta R_{\rm{min}}\rm{(Tag,\ Tag)})}$"
Evt_M3,"$\mathregular{M_{3}}$" 
Evt_MET_Pt,"$\mathregular{p_{\rm{T}}(MET)}$"
Evt_M_TaggedJetsAverage,"$\mathregular{\overline{{M}}\rm{(Tags)}}$" 
Evt_M_Total,"$\mathregular{M\rm{(Jets, Lep, MET)}}$"
Evt_M_minDrLepJet,"$\mathregular{M_{2}(\Delta R_{\rm{min}}\rm{(Lep,\ Jet)})}$" 
Evt_M_minDrLepTag,"$\mathregular{M(\Delta R_{\rm{min}}\rm{(Lep,\ Tag)}}$" 
Evt_Pt_minDrJets,"$\mathregular{p_{\rm{T}}(\Delta R_{\rm{min}}\rm{(Jet,\ Jet)})}$" 
Evt_Pt_minDrTaggedJets,"$\mathregular{p_{\rm{T}}(\Delta R_{\rm{min}}\rm{(Tag,\ Tag)})}$"
N_BTagsM,"$\mathregular{N_BTagsM}$"
N_Jets,"$\mathregular{N_{Jets}}$"
CSV[0],"$\mathregular{\rm{CSV\ 1}}$"
CSV[1],"$\mathregular{\rm{CSV\ 2}}$"
CSV[2],"$\mathregular{\rm{CSV\ 3}}$"
CSV[3],"$\mathregular{\rm{CSV\ 4}}$"
Jet_E[0],"$\mathregular{\rm{E(Jet\ 1)}}$"
Jet_E[1],"$\mathregular{\rm{E(Jet\ 2)}}$"
Jet_E[2],"$\mathregular{\rm{E(Jet\ 3)}}$"
Jet_E[3],"$\mathregular{\rm{E(Jet\ 4)}}$"
Jet_Eta[0],"$\mathregular{\eta\rm{(Jet\ 1)}}$"
Jet_Eta[1],"$\mathregular{\eta\rm{(Jet\ 2)}}$"
Jet_Eta[2],"$\mathregular{\eta\rm{(Jet\ 3)}}$"
Jet_Eta[3],"$\mathregular{\eta\rm{(Jet\ 4)}}$"
Jet_M[0],"$\mathregular{M\rm{(Jet\ 1)}}$" 
Jet_M[1],"$\mathregular{M\rm{(Jet\ 2)}}$" 
Jet_M[2],"$\mathregular{M\rm{(Jet\ 3)}}$" 
Jet_M[3],"$\mathregular{M\rm{(Jet\ 4)}}$" 
Jet_Phi[0],"$\mathregular{\varphi\rm{(Jet\ 1)}}$"
Jet_Phi[1],"$\mathregular{\varphi\rm{(Jet\ 2)}}$"
Jet_Phi[2],"$\mathregular{\varphi\rm{(Jet\ 3)}}$"
Jet_Phi[3],"$\mathregular{\varphi\rm{(Jet\ 4)}}$"
Jet_Pt[0],"$\mathregular{\rm{p_{\rm{T}}(Jet\ 1)}}$" 
Jet_Pt[1],"$\mathregular{\rm{p_{\rm{T}}(Jet\ 2)}}$" 
Jet_Pt[2],"$\mathregular{\rm{p_{\rm{T}}(Jet\ 3)}}$" 
Jet_Pt[3],"$\mathregular{\rm{p_{\rm{T}}(Jet\ 4)}}$" 
LooseLepton_E[0],"$\mathregular{\rm{E(Lep)}}$"
LooseLepton_Eta[0],"$\mathregular{\eta\rm{(Lep)}}$"
LooseLepton_Phi[0],"$\mathregular{\varphi\rm{(Lep)}}$"
LooseLepton_Pt[0],"$\mathregular{p_{\rm{T}}\rm{(Lep)}}$" 